ob_end_time, id_type, id, ob_hour_count, version_num, met_domain_name, src_id, rec_st_ind, max_air_temp, min_air_temp, min_grss_temp, min_conc_temp, max_air_temp_q, min_air_temp_q, min_grss_temp_q, min_conc_temp_q, meto_stmp_time, midas_stmp_etime, max_air_temp_j, min_air_temp_j, min_grss_temp_j, min_conc_temp_j
1965-03-01 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 3.3, -3.3, -5.6, , 9, 9, 9, 0, , , , , ,
1965-03-02 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 1.1, -6.1, -11.7, , 9, 109, 109, 0, , , , , ,
1965-03-02 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 0, -15, -18.9, , 9, 9, 9, 0, , , , , ,
1965-03-02 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 2.2, -7.8, -8.9, , 9, 9, 9, 0, , , , , ,
1965-03-03 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 2.2, -1.1, -2.2, , 9, 109, 109, 0, , , , , ,
1965-03-03 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, -.6, -14.4, -16.1, , 9, 9, 9, 0, , , , , ,
1965-03-03 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 2.2, -8.9, -13.3, , 9, 9, 9, 0, , , , , ,
1965-03-04 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 2.2, -5, -8.3, , 9, 109, 109, 0, , , , , ,
1965-03-04 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 0, -5, -5.6, , 9, 9, 9, 0, , , , , ,
1965-03-04 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, .6, -3.9, -5, , 9, 9, 9, 0, , , , , ,
1965-03-05 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 2.8, -2.8, -5, , 9, 109, 109, 0, , , , , ,
1965-03-05 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 2.2, -8.9, -11.7, , 9, 9, 9, 0, , , , , ,
1965-03-05 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 1.1, -5, -6.7, , 9, 9, 9, 0, , , , , ,
1965-03-06 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 6.1, -.6, -3.3, , 9, 109, 109, 0, , , , , ,
1965-03-06 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 3.9, -4.4, -5, , 9, 9, 9, 0, , , , , ,
1965-03-06 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 0, -5, -7.2, , 9, 9, 9, 0, , , , , ,
1965-03-07 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 7.8, .6, -4.4, , 9, 9, 9, 0, , , , , ,
1965-03-07 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 5.6, -9.4, -10, , 9, 9, 9, 0, , , , , ,
1965-03-07 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, , , , , 0, 0, 0, 0, , , , , ,
1965-03-08 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 8.3, -1.1, -5, , 9, 9, 9, 0, , , , , ,
1965-03-08 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 5.6, -4.4, 1.7, , 9, 109, 109, 0, , , , , ,
1965-03-08 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 4.4, -3.9, -10.6, , 9, 9, 9, 0, , , , , ,
1965-03-09 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 5, 1.1, -2.8, , 9, 9, 9, 0, , , , , ,
1965-03-09 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 7.2, -4.4, -5, , 9, 109, 109, 0, , , , , ,
1965-03-09 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 6.1, -5, -10.6, , 9, 9, 9, 0, , , , , ,
1965-03-10 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 5.6, -.6, -5, , 9, 109, 109, 0, , , , , ,
1965-03-10 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 7.2, -2.8, -5.6, , 9, 109, 109, 0, , , , , ,
1965-03-10 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 5, 0, -.6, , 9, 9, 9, 0, , , , , ,
1965-03-11 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 10.6, -1.1, -6.1, , 9, 109, 109, 0, , , , , ,
1965-03-11 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 6.7, -3.3, -5.6, , 9, 109, 109, 0, , , , , ,
1965-03-11 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 3.3, 1.1, -.6, , 9, 9, 9, 0, , , , , ,
1965-03-12 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 12.2, -.6, -5, , 9, 109, 109, 0, , , , , ,
1965-03-12 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 10, -.1, -2.2, , 9, 9, 9, 0, , , , , ,
1965-03-12 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 5.6, 1.7, -.6, , 9, 9, 9, 0, , , , , ,
1965-03-13 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 11.1, 1.1, 0, , 9, 9, 9, 0, , , , , ,
1965-03-13 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 12.2, -3.3, -5.6, , 9, 9, 9, 0, , , , , ,
1965-03-13 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 6.7, 2.2, 1.7, , 9, 9, 9, 0, , , , , ,
1965-03-14 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 10, 6.1, 4.4, , 9, 9, 9, 0, , , , , ,
1965-03-14 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 10.6, 1.1, 2.8, , 9, 109, 109, 0, , , , , ,
1965-03-14 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, , , , , 0, 0, 0, 0, , , , , ,
1965-03-15 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 12.2, 5.6, 4.4, , 9, 9, 9, 0, , , , , ,
1965-03-15 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 12.8, 6.7, 3.9, , 9, 9, 9, 0, , , , , ,
1965-03-15 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 11.7, 5, 4.4, , 9, 9, 9, 0, , , , , ,
1965-03-16 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 12.8, 5.6, 3.3, , 9, 9, 9, 0, , , , , ,
1965-03-16 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 11.7, 5.6, 3.3, , 9, 9, 9, 0, , , , , ,
1965-03-16 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 8.9, 5.6, 5, , 9, 9, 9, 0, , , , , ,
1965-03-17 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 10, 5.6, 4.4, , 9, 9, 109, 0, , , , , ,
1965-03-17 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 10.6, 4.4, 2.2, , 9, 9, 9, 0, , , , , ,
1965-03-17 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 7.8, 4.4, 3.9, , 9, 9, 9, 0, , , , , ,
1965-03-18 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 11.1, 5, 3.9, , 9, 9, 9, 0, , , , , ,
1965-03-18 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 10.6, 3.3, 1.7, , 9, 9, 9, 0, , , , , ,
1965-03-18 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 6.7, 3.9, 3.3, , 9, 9, 9, 0, , , , , ,
1965-03-19 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 6.1, .6, -1.1, , 9, 9, 9, 0, , , , , ,
1965-03-19 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 8.3, -.6, -2.8, , 9, 9, 9, 0, , , , , ,
